Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Aadorf;8355;0;Aadorf;TG;710588;261647
Aarau;5000;0;Aarau;AG;645856;249629
Aarau;5004;0;Aarau;AG;646949;250196
Aarau Rohr;5032;0;Aarau;AG;648652;250616
Aarberg;3270;0;Aarberg;BE;588144;210525
Aarburg;4663;0;Aarburg;AG;635425;241611
Aarwangen;4912;0;Aarwangen;BE;624590;232267
Aathal-Seegräben;8607;0;Seegräben;ZH;700584;244029
Aawangen;8522;2;Aadorf;TG;710206;263564
Abländschen;1657;0;Saanen;BE;588821;158428
Abtwil AG;5646;0;Abtwil;AG;669470;225299
Abtwil SG;9030;0;Gaiserwald;SG;742025;254523
Achseten;3725;0;Frutigen;BE;612259;152869
Aclens;1123;0;Aclens;VD;528791;157797
Acquarossa;6716;0;Acquarossa;TI;715113;146054
Adelboden;3715;0;Adelboden;BE;609227;149073
Adetswil;8345;0;Bäretswil;ZH;705931;244241
Adligenswil;6043;0;Adligenswil;LU;670368;213699
Adlikon b. Andelfingen;8452;0;Adlikon;ZH;694408;270774
Adlikon b. Regensdorf;8106;2;Regensdorf;ZH;677294;256008
Adliswil;8134;0;Adliswil;ZH;681612;240612
Aedermannsdorf;4714;0;Aedermannsdorf;SO;612828;239205
Aefligen;3426;0;Aefligen;BE;608587;216084
Aegerten;2558;0;Aegerten;BE;588846;218916
Aesch (Neftenbach);8412;0;Neftenbach;ZH;693366;266654
Aesch BL;4147;0;Aesch (BL);BL;611241;258173
Aesch LU;6287;0;Aesch (LU);LU;660591;234064
Aesch ZH;8904;0;Aesch (ZH);ZH;675273;243353
Aeschau;3536;0;Eggiwil;BE;624974;195360
Aeschi SO;4556;0;Aeschi (SO);SO;617223;225346
Aeschi b. Spiez;3703;0;Aeschi bei Spiez;BE;619577;167663
Aeschiried;3703;41;Aeschi bei Spiez;BE;621966;166040
Aeschlen b. Oberdiessbach;3672;2;Oberdiessbach;BE;615854;187398
Aeschlen ob Gunten;3656;1;Sigriswil;BE;619758;174446
Aetigkofen;4583;2;Buchegg;SO;602128;219136
Aetingen;4587;0;Buchegg;SO;605243;220110
Aettenschwil;5645;0;Sins;AG;670515;226332
Aeugst am Albis;8914;0;Aeugst am Albis;ZH;679662;235689
Aeugstertal;8914;2;Aeugst am Albis;ZH;679814;237410
Affeltrangen;9556;0;Affeltrangen;TG;720155;265443
Affoltern am Albis;8910;0;Affoltern am Albis;ZH;676400;237300
Affoltern im Emmental;3416;0;Affoltern im Emmental;BE;622327;212876
Agarn;3951;0;Agarn;VS;617908;127061
Agarone;6597;0;Cugnasco-Gerra;TI;713420;115327
Agasul;8308;2;Illnau-Effretikon;ZH;698161;253444
Agiez;1352;0;Agiez;VD;528757;174540
Agno;6982;0;Agno;TI;713361;94792.1
Agra;6927;0;Collina d'Oro;TI;714146;91789.8
Agriswil;3216;2;Ried bei Kerzers;FR;581619;200376
Aigle;1860;0;Aigle;VD;563720;129651
Aire-la-Ville;1288;0;Aire-la-Ville;GE;492287;116445
Airolo;6780;0;Airolo;TI;689808;153759
Alberswil;6248;0;Alberswil;LU;642365;222223
Albeuve;1669;0;Haut-Intyamon;FR;570635;151805
Albinen;3955;0;Albinen;VS;615293;132275
Albligen;3183;0;Schwarzenburg;BE;590637;188901
Alchenflüh;3422;2;Rüdtligen-Alchenflüh;BE;610538;214550
Alchenstorf;3473;0;Alchenstorf;BE;615227;219501
Aldesago;6974;0;Lugano;TI;719301;96413.9
Algetshausen;9249;0;Uzwil;SG;725748;256335
Alikon;5643;2;Sins;AG;670054;228021
Allaman;1165;0;Allaman;VD;519867;147146
Alle;2942;0;Alle;JU;576617;252985
Allens;1304;3;Cossonay;VD;528831;161405
Allenwinden;6319;0;Baar;ZG;684338;224328
Allerheiligenberg;4615;0;Hägendorf;SO;628427;244698
Allmendingen b. Bern;3112;0;Allmendingen;BE;606322;196174
Allschwil;4123;0;Allschwil;BL;607302;266659
Almens;7416;0;Domleschg;GR;754407;178307
Alosen;6315;2;Oberägeri;ZG;691060;222007
Alp Grüm;7710;2;Poschiavo;GR;799569;139232
Alpnach Dorf;6055;0;Alpnach;OW;662895;198960
Alpnachstad;6053;0;Alpnach;OW;663849;200535
Alpthal;8849;0;Alpthal;SZ;697032;214090
Alt St. Johann;9656;0;Wildhaus-Alt St. Johann;SG;739597;228556
